Crop,Year,Country,Region,avgtemp,precipitation,co2,yield,extremeevents,irrigationaccess,pesticideuse,fertilizeruse,soilhealth,strategies,economicimpact,irrigationtype,soiltype,season,soilimpact,Machine_Name,Function,Features
Wheat,2013,Canada,Prairies,32.32,1532.44,20.34,1.737,7,31.0,24.22,2.76,85.55,Organic Farming,236.78,Drip,Clay,Zaid,"Soil erosion, nutrient loss",Combine Harvester,"Harvests, threshes, and cleans grains",Interchangeable headers
Barley,2020,China,South,29.17,1647.43,1.22,2.02,4,56.96,18.56,51.44,90.27,No Adaptation,700.47,Flood,Sandy,Zaid,"Nutrient depletion, shallow roots",Combine Harvester,Multi-function grain harvesting,Customizable for barley conditions
Barley,2016,India,Maharashtra,15.47,1657.83,6.01,4.77,1,17.08,44.13,61.89,61.39,No Adaptation,1045.25,Flood,Sandy,Zaid,"Nutrient depletion, shallow roots",Combine Harvester,Multi-function grain harvesting,Customizable for barley conditions
Maize,2014,China,North,21.44,1456.54,8.45,2.51,1,51.63,13.45,98.44,61.97,No Adaptation,584.17,Drip,Peaty,Rabi,"Soil exhaustion, compaction",Corn Harvester,"Strips ears, handles stalks",Specialized corn headers
Wheat,2021,Brazil,Southeast,29.57,1911.69,19.7,3.474,10,79.47,7.57,3.94,85.04,Crop Rotation,1622.98,Drip,Clay,Zaid,"Soil erosion, nutrient loss",Combine Harvester,"Harvests, threshes, and cleans grains",Interchangeable headers
Maize,2000,Canada,Quebec,16.17,518.2,22.54,2.889,1,80.37,46.84,30.75,70.02,Drought-resistant Crops,506.97,Drip,Peaty,Rabi,"Soil exhaustion, compaction",Corn Harvester,"Strips ears, handles stalks",Specialized corn headers
Sugarcane,1991,China,East,2.88,319.04,13.02,2.2230000000000003,6,26.02,30.62,37.93,79.85,No Adaptation,642.27,Flood,Silty,Kharif,"Salinization, fertility loss",Sugarcane Harvester,"Cuts, chops, and removes leaves",Rotating blades
Rice,2003,India,Maharashtra,18.57,921.28,8.52,2.49,6,27.25,17.16,19.03,99.51,Organic Farming,767.49,Drip,Silty,Kharif,"Hardpan, micronutrient imbalance",Rice Harvester,"Cuts, threshes, cleans grains in mud",Flooded-field capability
Barley,1999,Brazil,North,1.57,1539.67,0.85,1.94,3,23.29,37.79,7.88,86.42,No Adaptation,958.32,Flood,Sandy,Zaid,"Nutrient depletion, shallow roots",Combine Harvester,Multi-function grain harvesting,Customizable for barley conditions
Rice,1998,China,Central,26.59,650.45,8.54,1.71,7,43.4,43.7,41.37,80.57,Water Management,622.3,Drip,Silty,Kharif,"Hardpan, micronutrient imbalance",Rice Harvester,"Cuts, threshes, cleans grains in mud",Flooded-field capability
Sugarcane,1994,China,North,32.99,2554.7,4.43,3.08,3,32.4,9.63,14.34,34.97,Water Management,447.08,Flood,Silty,Kharif,"Salinization, fertility loss",Sugarcane Harvester,"Cuts, chops, and removes leaves",Rotating blades
Wheat,2009,USA,West,16.08,2084.56,11.62,2.7,3,64.16,44.86,8.94,83.73,No Adaptation,354.28,Drip,Clay,Zaid,"Soil erosion, nutrient loss",Combine Harvester,"Harvests, threshes, and cleans grains",Interchangeable headers
Wheat,2009,Nigeria,North Central,3.12,981.68,19.89,1.161,9,81.9,13.33,60.82,66.48,No Adaptation,572.05,Drip,Clay,Zaid,"Soil erosion, nutrient loss",Combine Harvester,"Harvests, threshes, and cleans grains",Interchangeable headers
Rice,2015,Brazil,Southeast,-2.44,1792.33,16.38,0.936,0,68.15,7.14,90.48,94.59,Crop Rotation,431.98,Drip,Silty,Kharif,"Hardpan, micronutrient imbalance",Rice Harvester,"Cuts, threshes, cleans grains in mud",Flooded-field capability
Wheat,1996,Canada,Quebec,25.35,1729.39,15.07,3.258,8,29.93,43.57,80.22,74.73,Organic Farming,1144.39,Drip,Clay,Zaid,"Soil erosion, nutrient loss",Combine Harvester,"Harvests, threshes, and cleans grains",Interchangeable headers
Barley,2006,France,Provence-Alpes-Cote d’Azur,3.02,2329.12,9.11,1.84,1,87.28,28.15,68.21,50.51,Crop Rotation,332.71,Flood,Sandy,Zaid,"Nutrient depletion, shallow roots",Combine Harvester,Multi-function grain harvesting,Customizable for barley conditions
Barley,2002,Canada,Quebec,26.37,2972.5,23.78,0.945,4,45.52,8.02,95.53,59.17,Drought-resistant Crops,177.42,Flood,Sandy,Zaid,"Nutrient depletion, shallow roots",Combine Harvester,Multi-function grain harvesting,Customizable for barley conditions
Sugarcane,2000,Argentina,Northwest,17.93,698.96,27.29,3.717,3,52.31,47.46,93.47,80.41,Organic Farming,1162.0,Flood,Silty,Kharif,"Salinization, fertility loss",Sugarcane Harvester,"Cuts, chops, and removes leaves",Rotating blades
Maize,2020,India,West Bengal,23.5,919.07,9.7,2.32,2,10.66,21.54,77.56,56.99,Crop Rotation,545.06,Drip,Peaty,Rabi,"Soil exhaustion, compaction",Corn Harvester,"Strips ears, handles stalks",Specialized corn headers
Maize,2014,China,South,2.57,221.89,17.02,1.1880000000000002,6,95.06,45.62,85.13,98.59,No Adaptation,220.81,Drip,Peaty,Rabi,"Soil exhaustion, compaction",Corn Harvester,"Strips ears, handles stalks",Specialized corn headers
Maize,2014,Brazil,Northeast,-1.76,605.38,26.01,0.927,0,53.61,22.54,14.81,41.55,Water Management,416.79,Drip,Peaty,Rabi,"Soil exhaustion, compaction",Corn Harvester,"Strips ears, handles stalks",Specialized corn headers
Maize,1996,Nigeria,South East,3.17,1562.2,7.15,1.35,10,42.04,40.81,74.31,99.04,Organic Farming,417.51,Drip,Peaty,Rabi,"Soil exhaustion, compaction",Corn Harvester,"Strips ears, handles stalks",Specialized corn headers
Barley,2014,Australia,Victoria,11.57,1229.03,11.38,4.05,1,95.29,34.95,79.13,69.87,Water Management,897.76,Flood,Sandy,Zaid,"Nutrient depletion, shallow roots",Combine Harvester,Multi-function grain harvesting,Customizable for barley conditions
Wheat,1999,Australia,Queensland,32.93,1315.12,17.77,0.963,7,92.9,19.13,27.92,58.29,No Adaptation,219.95,Drip,Clay,Zaid,"Soil erosion, nutrient loss",Combine Harvester,"Harvests, threshes, and cleans grains",Interchangeable headers
Maize,2000,Russia,Siberian,3.12,1520.32,25.51,1.4580000000000002,1,28.12,32.65,22.26,89.07,No Adaptation,307.64,Drip,Peaty,Rabi,"Soil exhaustion, compaction",Corn Harvester,"Strips ears, handles stalks",Specialized corn headers
Sugarcane,2008,India,Tamil Nadu,11.07,1613.86,15.78,4.356,9,11.16,32.57,65.05,57.66,No Adaptation,1661.16,Flood,Silty,Kharif,"Salinization, fertility loss",Sugarcane Harvester,"Cuts, chops, and removes leaves",Rotating blades
Wheat,2002,Brazil,Northeast,24.41,466.73,25.21,1.341,1,28.87,5.27,90.96,94.96,Drought-resistant Crops,178.88,Drip,Clay,Zaid,"Soil erosion, nutrient loss",Combine Harvester,"Harvests, threshes, and cleans grains",Interchangeable headers
Maize,2022,Canada,Prairies,29.42,1641.26,28.73,1.449,2,50.79,37.34,39.67,53.67,Crop Rotation,454.1,Drip,Peaty,Rabi,"Soil exhaustion, compaction",Corn Harvester,"Strips ears, handles stalks",Specialized corn headers
Sugarcane,2012,India,West Bengal,17.97,2749.07,4.86,3.41,6,25.32,48.26,39.87,89.33,No Adaptation,628.16,Flood,Silty,Kharif,"Salinization, fertility loss",Sugarcane Harvester,"Cuts, chops, and removes leaves",Rotating blades
Wheat,2004,Australia,Queensland,8.13,286.62,0.76,1.836,5,89.4,14.93,37.18,54.33,Water Management,752.33,Drip,Clay,Zaid,"Soil erosion, nutrient loss",Combine Harvester,"Harvests, threshes, and cleans grains",Interchangeable headers
Sugarcane,2024,Canada,British Columbia,-1.62,2266.84,29.23,2.484,8,49.43,21.11,35.64,66.09,Organic Farming,345.35,Flood,Silty,Kharif,"Salinization, fertility loss",Sugarcane Harvester,"Cuts, chops, and removes leaves",Rotating blades
Maize,2008,France,Ile-de-France,-2.03,1518.25,23.06,1.017,6,40.51,16.7,4.41,31.34,Crop Rotation,505.79,Drip,Peaty,Rabi,"Soil exhaustion, compaction",Corn Harvester,"Strips ears, handles stalks",Specialized corn headers
Wheat,2003,Russia,Central,21.79,1667.33,2.36,3.81,8,57.71,45.34,60.11,62.88,Organic Farming,1235.24,Drip,Clay,Zaid,"Soil erosion, nutrient loss",Combine Harvester,"Harvests, threshes, and cleans grains",Interchangeable headers
Sugarcane,2024,India,Maharashtra,28.04,2777.97,1.44,3.75,6,95.66,47.42,96.5,90.47,No Adaptation,1216.51,Flood,Silty,Kharif,"Salinization, fertility loss",Sugarcane Harvester,"Cuts, chops, and removes leaves",Rotating blades
Wheat,2016,Argentina,Northeast,33.49,1317.68,22.48,3.303,1,54.49,11.04,64.41,41.04,Crop Rotation,1317.63,Drip,Clay,Zaid,"Soil erosion, nutrient loss",Combine Harvester,"Harvests, threshes, and cleans grains",Interchangeable headers
Sugarcane,2011,China,Central,13.4,1588.33,26.56,2.349,4,40.05,6.22,16.61,64.75,Organic Farming,907.0,Flood,Silty,Kharif,"Salinization, fertility loss",Sugarcane Harvester,"Cuts, chops, and removes leaves",Rotating blades
Sugarcane,2017,Brazil,Southeast,27.55,2391.85,0.74,0.97,5,64.05,46.13,21.41,99.65,Drought-resistant Crops,471.74,Flood,Silty,Kharif,"Salinization, fertility loss",Sugarcane Harvester,"Cuts, chops, and removes leaves",Rotating blades
Barley,1995,Nigeria,South East,26.22,1875.53,17.86,2.8440000000000003,5,16.29,15.95,62.91,76.19,Drought-resistant Crops,1100.64,Flood,Sandy,Zaid,"Nutrient depletion, shallow roots",Combine Harvester,Multi-function grain harvesting,Customizable for barley conditions
Wheat,2021,USA,Northeast,26.02,1284.28,7.31,3.04,0,16.65,48.12,12.75,71.88,Drought-resistant Crops,867.73,Drip,Clay,Zaid,"Soil erosion, nutrient loss",Combine Harvester,"Harvests, threshes, and cleans grains",Interchangeable headers
Wheat,1997,Russia,Volga,29.58,2925.2,18.12,2.259,1,29.13,33.88,19.41,58.62,Crop Rotation,386.78,Drip,Clay,Zaid,"Soil erosion, nutrient loss",Combine Harvester,"Harvests, threshes, and cleans grains",Interchangeable headers
Wheat,2002,Brazil,Northeast,33.64,1607.67,15.46,1.296,5,17.12,12.55,13.05,45.03,Drought-resistant Crops,429.52,Drip,Clay,Zaid,"Soil erosion, nutrient loss",Combine Harvester,"Harvests, threshes, and cleans grains",Interchangeable headers
Maize,2009,Brazil,South,8.0,339.07,22.2,1.089,10,29.51,10.04,78.18,80.73,Water Management,442.36,Drip,Peaty,Rabi,"Soil exhaustion, compaction",Corn Harvester,"Strips ears, handles stalks",Specialized corn headers
Maize,2011,China,South,3.38,1196.19,19.14,0.6930000000000001,7,33.32,42.77,37.53,44.29,No Adaptation,157.9,Drip,Peaty,Rabi,"Soil exhaustion, compaction",Corn Harvester,"Strips ears, handles stalks",Specialized corn headers
Rice,2007,China,East,-1.04,2546.94,3.58,2.55,2,12.47,10.73,65.76,87.15,No Adaptation,1043.99,Drip,Silty,Kharif,"Hardpan, micronutrient imbalance",Rice Harvester,"Cuts, threshes, cleans grains in mud",Flooded-field capability
Wheat,2021,France,Grand Est,15.38,417.59,28.25,2.673,8,61.07,45.36,91.94,63.56,Crop Rotation,661.61,Drip,Clay,Zaid,"Soil erosion, nutrient loss",Combine Harvester,"Harvests, threshes, and cleans grains",Interchangeable headers
Rice,2011,Argentina,Northwest,0.89,2260.34,9.59,1.76,4,26.68,2.3,73.25,94.73,Water Management,184.82,Drip,Silty,Kharif,"Hardpan, micronutrient imbalance",Rice Harvester,"Cuts, threshes, cleans grains in mud",Flooded-field capability
Wheat,2006,India,West Bengal,6.93,2321.81,9.75,0.97,4,46.28,48.06,18.82,62.91,Water Management,219.64,Drip,Clay,Zaid,"Soil erosion, nutrient loss",Combine Harvester,"Harvests, threshes, and cleans grains",Interchangeable headers
Barley,2000,Canada,Quebec,23.78,426.57,16.74,3.546,3,35.24,17.01,14.67,78.9,No Adaptation,1631.57,Flood,Sandy,Zaid,"Nutrient depletion, shallow roots",Combine Harvester,Multi-function grain harvesting,Customizable for barley conditions
Rice,2000,Canada,Quebec,29.87,955.29,15.18,2.25,3,30.92,16.05,4.42,68.31,No Adaptation,1110.8,Drip,Silty,Kharif,"Hardpan, micronutrient imbalance",Rice Harvester,"Cuts, threshes, cleans grains in mud",Flooded-field capability
Maize,2017,India,Tamil Nadu,16.55,1237.85,14.94,3.41,6,67.58,22.83,61.33,51.81,No Adaptation,1658.53,Drip,Peaty,Rabi,"Soil exhaustion, compaction",Corn Harvester,"Strips ears, handles stalks",Specialized corn headers
Maize,2016,Argentina,Pampas,9.82,1708.64,14.25,2.55,7,42.66,40.57,32.65,77.13,Water Management,263.26,Drip,Peaty,Rabi,"Soil exhaustion, compaction",Corn Harvester,"Strips ears, handles stalks",Specialized corn headers
Rice,2006,Argentina,Northeast,13.69,2216.87,23.07,3.474,5,89.51,16.68,5.03,37.88,Water Management,1083.42,Drip,Silty,Kharif,"Hardpan, micronutrient imbalance",Rice Harvester,"Cuts, threshes, cleans grains in mud",Flooded-field capability
Barley,2022,Russia,Volga,16.82,1591.74,29.0,3.204,5,26.2,19.49,16.1,36.75,Crop Rotation,1139.24,Flood,Sandy,Zaid,"Nutrient depletion, shallow roots",Combine Harvester,Multi-function grain harvesting,Customizable for barley conditions
Wheat,2007,Australia,Western Australia,-2.65,1206.68,22.59,1.98,3,67.54,7.66,41.31,56.05,Water Management,396.95,Drip,Clay,Zaid,"Soil erosion, nutrient loss",Combine Harvester,"Harvests, threshes, and cleans grains",Interchangeable headers
Rice,1999,India,West Bengal,31.94,749.95,2.09,1.82,7,45.39,0.29,8.97,90.79,Organic Farming,800.81,Drip,Silty,Kharif,"Hardpan, micronutrient imbalance",Rice Harvester,"Cuts, threshes, cleans grains in mud",Flooded-field capability
Rice,2022,Russia,Volga,13.94,210.92,1.23,2.601,1,56.31,34.33,38.65,89.09,Water Management,813.48,Drip,Silty,Kharif,"Hardpan, micronutrient imbalance",Rice Harvester,"Cuts, threshes, cleans grains in mud",Flooded-field capability
Rice,2017,Canada,Prairies,10.07,1313.61,26.67,1.548,6,53.05,48.64,95.6,66.21,No Adaptation,461.04,Drip,Silty,Kharif,"Hardpan, micronutrient imbalance",Rice Harvester,"Cuts, threshes, cleans grains in mud",Flooded-field capability
Maize,1991,Australia,Western Australia,23.77,427.96,11.46,1.971,9,63.35,38.43,55.76,37.88,Drought-resistant Crops,549.01,Drip,Peaty,Rabi,"Soil exhaustion, compaction",Corn Harvester,"Strips ears, handles stalks",Specialized corn headers
Maize,2021,USA,Northeast,14.46,1637.76,11.68,4.69,7,20.69,29.5,4.96,79.62,No Adaptation,1870.51,Drip,Peaty,Rabi,"Soil exhaustion, compaction",Corn Harvester,"Strips ears, handles stalks",Specialized corn headers
Rice,2020,India,Punjab,0.94,1409.52,5.6,1.53,5,12.61,1.92,25.54,82.78,Water Management,432.47,Drip,Silty,Kharif,"Hardpan, micronutrient imbalance",Rice Harvester,"Cuts, threshes, cleans grains in mud",Flooded-field capability
Maize,2003,Australia,Western Australia,10.34,294.7,19.62,2.889,1,94.1,30.61,98.11,39.7,Organic Farming,517.01,Drip,Peaty,Rabi,"Soil exhaustion, compaction",Corn Harvester,"Strips ears, handles stalks",Specialized corn headers
Sugarcane,2003,Argentina,Northeast,23.24,2652.16,21.3,1.4580000000000002,9,24.19,35.35,74.47,41.36,Drought-resistant Crops,672.35,Flood,Silty,Kharif,"Salinization, fertility loss",Sugarcane Harvester,"Cuts, chops, and removes leaves",Rotating blades
Wheat,1992,Nigeria,South East,17.17,2581.98,16.75,3.807,9,10.86,6.04,81.96,95.99,Water Management,1729.28,Drip,Clay,Zaid,"Soil erosion, nutrient loss",Combine Harvester,"Harvests, threshes, and cleans grains",Interchangeable headers
Rice,2023,Argentina,Patagonia,26.37,2464.2,15.71,2.511,8,70.09,30.17,17.7,37.9,Drought-resistant Crops,904.79,Drip,Silty,Kharif,"Hardpan, micronutrient imbalance",Rice Harvester,"Cuts, threshes, cleans grains in mud",Flooded-field capability
Sugarcane,1993,Brazil,South,33.48,573.74,25.62,1.989,2,24.55,1.41,70.76,34.46,Organic Farming,861.75,Flood,Silty,Kharif,"Salinization, fertility loss",Sugarcane Harvester,"Cuts, chops, and removes leaves",Rotating blades
Rice,1993,Argentina,Pampas,2.95,2596.95,27.03,1.035,0,50.45,9.52,98.52,81.96,Drought-resistant Crops,233.07,Drip,Silty,Kharif,"Hardpan, micronutrient imbalance",Rice Harvester,"Cuts, threshes, cleans grains in mud",Flooded-field capability
Rice,2005,Nigeria,South West,2.54,1155.69,7.8,1.31,0,31.67,44.96,55.46,60.72,Water Management,497.48,Drip,Silty,Kharif,"Hardpan, micronutrient imbalance",Rice Harvester,"Cuts, threshes, cleans grains in mud",Flooded-field capability
Rice,2010,France,Nouvelle-Aquitaine,-2.37,1231.34,4.89,1.74,10,26.54,21.81,56.98,85.82,Organic Farming,622.96,Drip,Silty,Kharif,"Hardpan, micronutrient imbalance",Rice Harvester,"Cuts, threshes, cleans grains in mud",Flooded-field capability
Sugarcane,1993,Canada,Prairies,12.7,854.51,23.42,1.818,9,64.89,39.54,48.17,57.16,Drought-resistant Crops,365.1,Flood,Silty,Kharif,"Salinization, fertility loss",Sugarcane Harvester,"Cuts, chops, and removes leaves",Rotating blades
Rice,2024,France,Ile-de-France,24.01,1655.32,2.94,2.4,3,71.61,21.1,85.19,55.73,Drought-resistant Crops,1197.32,Drip,Silty,Kharif,"Hardpan, micronutrient imbalance",Rice Harvester,"Cuts, threshes, cleans grains in mud",Flooded-field capability
Sugarcane,1999,USA,South,30.94,923.98,7.08,1.03,8,30.87,15.25,21.42,80.02,Water Management,265.69,Flood,Silty,Kharif,"Salinization, fertility loss",Sugarcane Harvester,"Cuts, chops, and removes leaves",Rotating blades
Sugarcane,2006,India,Punjab,30.04,2936.51,0.71,1.55,4,29.09,41.69,75.08,62.85,Drought-resistant Crops,716.27,Flood,Silty,Kharif,"Salinization, fertility loss",Sugarcane Harvester,"Cuts, chops, and removes leaves",Rotating blades
Wheat,2017,Brazil,South,5.08,2664.38,23.62,1.692,1,46.12,29.54,95.98,73.67,Organic Farming,186.27,Drip,Clay,Zaid,"Soil erosion, nutrient loss",Combine Harvester,"Harvests, threshes, and cleans grains",Interchangeable headers
Wheat,1999,Canada,Ontario,2.9,2521.61,5.0,1.31,6,93.5,22.0,64.41,61.68,Organic Farming,469.99,Drip,Clay,Zaid,"Soil erosion, nutrient loss",Combine Harvester,"Harvests, threshes, and cleans grains",Interchangeable headers
Maize,1993,China,Central,11.03,2138.1,21.5,3.591,3,86.87,37.02,91.8,87.63,Organic Farming,1434.52,Drip,Peaty,Rabi,"Soil exhaustion, compaction",Corn Harvester,"Strips ears, handles stalks",Specialized corn headers
Wheat,2021,Australia,Victoria,-3.14,507.38,27.49,1.827,8,88.86,43.65,38.15,79.64,Crop Rotation,756.04,Drip,Clay,Zaid,"Soil erosion, nutrient loss",Combine Harvester,"Harvests, threshes, and cleans grains",Interchangeable headers
Sugarcane,1996,China,Central,26.68,1161.71,16.51,2.934,2,36.49,23.96,12.57,91.06,No Adaptation,781.28,Flood,Silty,Kharif,"Salinization, fertility loss",Sugarcane Harvester,"Cuts, chops, and removes leaves",Rotating blades
Wheat,2012,France,Ile-de-France,-0.95,2224.01,19.04,2.367,4,71.47,22.5,35.22,96.92,Water Management,601.01,Drip,Clay,Zaid,"Soil erosion, nutrient loss",Combine Harvester,"Harvests, threshes, and cleans grains",Interchangeable headers
Rice,2023,Canada,Prairies,33.7,1858.83,3.6,1.77,7,92.22,35.15,21.04,46.78,Drought-resistant Crops,267.32,Drip,Silty,Kharif,"Hardpan, micronutrient imbalance",Rice Harvester,"Cuts, threshes, cleans grains in mud",Flooded-field capability
Rice,2020,Argentina,Patagonia,15.35,620.1,18.45,2.619,6,88.56,27.29,60.41,74.62,Drought-resistant Crops,1306.4,Drip,Silty,Kharif,"Hardpan, micronutrient imbalance",Rice Harvester,"Cuts, threshes, cleans grains in mud",Flooded-field capability
Wheat,1990,India,Maharashtra,16.36,1448.12,0.79,2.09,5,40.86,19.41,77.64,76.05,Drought-resistant Crops,475.95,Drip,Clay,Zaid,"Soil erosion, nutrient loss",Combine Harvester,"Harvests, threshes, and cleans grains",Interchangeable headers
Maize,2016,Nigeria,South West,2.16,1325.87,22.07,1.809,2,37.5,35.74,25.3,36.75,Crop Rotation,801.68,Drip,Peaty,Rabi,"Soil exhaustion, compaction",Corn Harvester,"Strips ears, handles stalks",Specialized corn headers
Wheat,1993,Canada,Ontario,20.17,1284.71,3.84,2.55,2,14.72,35.01,58.23,88.0,Organic Farming,431.16,Drip,Clay,Zaid,"Soil erosion, nutrient loss",Combine Harvester,"Harvests, threshes, and cleans grains",Interchangeable headers
Rice,2017,India,Maharashtra,26.65,297.01,6.66,3.4290000000000003,4,18.24,25.12,52.69,48.45,Drought-resistant Crops,949.54,Drip,Silty,Kharif,"Hardpan, micronutrient imbalance",Rice Harvester,"Cuts, threshes, cleans grains in mud",Flooded-field capability
Maize,1999,Nigeria,North West,30.83,424.84,17.55,3.384,5,59.23,17.76,86.75,93.36,Water Management,654.1,Drip,Peaty,Rabi,"Soil exhaustion, compaction",Corn Harvester,"Strips ears, handles stalks",Specialized corn headers
Sugarcane,2001,Australia,New South Wales,23.59,1504.25,24.93,2.934,2,98.63,34.15,83.28,92.8,Crop Rotation,1350.12,Flood,Silty,Kharif,"Salinization, fertility loss",Sugarcane Harvester,"Cuts, chops, and removes leaves",Rotating blades
Barley,2024,Russia,Central,31.82,1759.71,8.16,2.1,5,58.86,18.35,5.41,75.72,Crop Rotation,937.75,Flood,Sandy,Zaid,"Nutrient depletion, shallow roots",Combine Harvester,Multi-function grain harvesting,Customizable for barley conditions
Maize,2003,Nigeria,South West,14.01,2831.25,2.23,1.6,5,70.76,2.09,47.07,90.91,No Adaptation,715.77,Drip,Peaty,Rabi,"Soil exhaustion, compaction",Corn Harvester,"Strips ears, handles stalks",Specialized corn headers
Barley,2010,France,Provence-Alpes-Cote d’Azur,24.74,2507.4,6.67,3.52,10,71.05,47.11,34.28,67.87,Crop Rotation,386.83,Flood,Sandy,Zaid,"Nutrient depletion, shallow roots",Combine Harvester,Multi-function grain harvesting,Customizable for barley conditions
Sugarcane,2004,Nigeria,South West,22.54,1320.71,17.48,1.287,2,67.14,34.47,1.37,47.87,Water Management,627.58,Flood,Silty,Kharif,"Salinization, fertility loss",Sugarcane Harvester,"Cuts, chops, and removes leaves",Rotating blades
Wheat,2016,Russia,Central,20.35,2202.2,17.07,0.783,1,64.9,25.14,21.86,88.21,Water Management,153.38,Drip,Clay,Zaid,"Soil erosion, nutrient loss",Combine Harvester,"Harvests, threshes, and cleans grains",Interchangeable headers
Wheat,1995,Nigeria,North West,10.45,1429.56,12.94,3.56,9,54.29,36.4,39.72,69.89,Drought-resistant Crops,1705.6,Drip,Clay,Zaid,"Soil erosion, nutrient loss",Combine Harvester,"Harvests, threshes, and cleans grains",Interchangeable headers
Sugarcane,2006,Australia,Victoria,25.27,1943.91,17.26,3.123,1,46.94,15.39,0.14,82.58,Water Management,1073.87,Flood,Silty,Kharif,"Salinization, fertility loss",Sugarcane Harvester,"Cuts, chops, and removes leaves",Rotating blades
Barley,2010,USA,Northeast,-2.32,2640.64,22.94,0.486,7,17.96,40.51,44.01,48.43,No Adaptation,232.46,Flood,Sandy,Zaid,"Nutrient depletion, shallow roots",Combine Harvester,Multi-function grain harvesting,Customizable for barley conditions
Rice,2011,China,East,33.6,324.51,25.23,3.357,10,56.77,26.88,79.17,94.05,Drought-resistant Crops,1033.22,Drip,Silty,Kharif,"Hardpan, micronutrient imbalance",Rice Harvester,"Cuts, threshes, cleans grains in mud",Flooded-field capability
Wheat,2012,Australia,Queensland,27.83,2911.48,21.24,2.115,1,46.68,2.42,31.75,78.71,Crop Rotation,623.83,Drip,Clay,Zaid,"Soil erosion, nutrient loss",Combine Harvester,"Harvests, threshes, and cleans grains",Interchangeable headers
Rice,2015,Nigeria,North Central,9.9,1713.74,8.73,2.02,3,14.74,27.22,63.36,46.34,Drought-resistant Crops,991.3,Drip,Silty,Kharif,"Hardpan, micronutrient imbalance",Rice Harvester,"Cuts, threshes, cleans grains in mud",Flooded-field capability
Sugarcane,2014,Russia,Volga,9.06,2967.56,2.87,2.27,0,58.26,37.84,82.09,60.16,Organic Farming,377.08,Flood,Silty,Kharif,"Salinization, fertility loss",Sugarcane Harvester,"Cuts, chops, and removes leaves",Rotating blades
Barley,2011,India,West Bengal,15.66,2700.34,5.48,1.87,0,23.34,24.72,5.25,51.14,Water Management,359.28,Flood,Sandy,Zaid,"Nutrient depletion, shallow roots",Combine Harvester,Multi-function grain harvesting,Customizable for barley conditions
Wheat,1996,Canada,British Columbia,26.67,2929.36,5.29,2.12,6,77.77,32.18,89.91,45.31,Water Management,520.99,Drip,Clay,Zaid,"Soil erosion, nutrient loss",Combine Harvester,"Harvests, threshes, and cleans grains",Interchangeable headers
Rice,2009,Nigeria,South East,2.68,845.93,15.78,2.322,10,45.56,30.66,63.64,59.23,Water Management,511.63,Drip,Silty,Kharif,"Hardpan, micronutrient imbalance",Rice Harvester,"Cuts, threshes, cleans grains in mud",Flooded-field capability
Rice,1994,Canada,Quebec,-4.17,1284.85,14.32,0.65,5,40.56,9.86,31.61,55.92,Organic Farming,309.65,Drip,Silty,Kharif,"Hardpan, micronutrient imbalance",Rice Harvester,"Cuts, threshes, cleans grains in mud",Flooded-field capability
Sugarcane,2014,Nigeria,South East,30.85,1586.81,17.07,1.125,3,55.98,3.5,52.13,98.8,Crop Rotation,318.66,Flood,Silty,Kharif,"Salinization, fertility loss",Sugarcane Harvester,"Cuts, chops, and removes leaves",Rotating blades
Rice,2013,Brazil,Southeast,4.66,510.13,9.68,2.96,4,59.49,32.3,72.16,74.52,Crop Rotation,1233.59,Drip,Silty,Kharif,"Hardpan, micronutrient imbalance",Rice Harvester,"Cuts, threshes, cleans grains in mud",Flooded-field capability
Barley,2015,France,Provence-Alpes-Cote d’Azur,18.84,481.64,10.0,2.07,0,80.8,9.55,92.81,70.81,No Adaptation,327.49,Flood,Sandy,Zaid,"Nutrient depletion, shallow roots",Combine Harvester,Multi-function grain harvesting,Customizable for barley conditions
Wheat,2001,France,Provence-Alpes-Cote d’Azur,23.18,1652.48,28.19,2.502,7,42.57,28.04,44.57,47.74,No Adaptation,359.68,Drip,Clay,Zaid,"Soil erosion, nutrient loss",Combine Harvester,"Harvests, threshes, and cleans grains",Interchangeable headers
Sugarcane,1992,USA,South,22.58,2199.25,9.63,0.94,6,55.11,19.7,88.0,44.1,No Adaptation,211.15,Flood,Silty,Kharif,"Salinization, fertility loss",Sugarcane Harvester,"Cuts, chops, and removes leaves",Rotating blades
Sugarcane,1994,USA,Midwest,31.64,1059.94,27.9,2.9160000000000004,0,74.25,23.13,23.12,62.07,Crop Rotation,1190.47,Flood,Silty,Kharif,"Salinization, fertility loss",Sugarcane Harvester,"Cuts, chops, and removes leaves",Rotating blades
Sugarcane,1999,Canada,British Columbia,6.79,2098.29,11.94,2.28,9,90.11,21.24,32.21,64.68,Drought-resistant Crops,325.89,Flood,Silty,Kharif,"Salinization, fertility loss",Sugarcane Harvester,"Cuts, chops, and removes leaves",Rotating blades
Rice,1996,Argentina,Northeast,29.24,1615.5,21.52,3.024,2,54.64,44.94,12.05,54.54,No Adaptation,1483.55,Drip,Silty,Kharif,"Hardpan, micronutrient imbalance",Rice Harvester,"Cuts, threshes, cleans grains in mud",Flooded-field capability
Wheat,2001,Brazil,Northeast,11.01,746.65,17.68,2.718,4,51.16,34.29,76.03,48.81,Water Management,1128.43,Drip,Clay,Zaid,"Soil erosion, nutrient loss",Combine Harvester,"Harvests, threshes, and cleans grains",Interchangeable headers
